prompt_type,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,cifar10,70,72,0.9722,0.019367,0.9043,0.9923
axioms_ontology_v2,dtd,60,72,0.8333,0.043921,0.7309,0.9020
axioms_ontology_v2,flowers,71,72,0.9861,0.013792,0.9254,0.9975
axioms_ontology_v2,pets,65,72,0.9028,0.034915,0.8126,0.9521
classification,cifar10,70,72,0.9722,0.019367,0.9043,0.9923
classification,dtd,61,72,0.8472,0.042400,0.7468,0.9125
classification,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,pets,69,72,0.9583,0.023550,0.8845,0.9857
features,cifar10,71,72,0.9861,0.013792,0.9254,0.9975
features,dtd,58,72,0.8056,0.046642,0.6997,0.8805
features,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,pets,67,72,0.9306,0.029959,0.8475,0.9700
nle,cifar10,71,72,0.9861,0.013792,0.9254,0.9975
nle,dtd,63,72,0.8750,0.038976,0.7792,0.9328
nle,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,pets,65,72,0.9028,0.034915,0.8126,0.9521
rulebased,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
rulebased,dtd,62,72,0.8611,0.040757,0.7629,0.9228
rulebased,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,pets,69,72,0.9583,0.023550,0.8845,0.9857
